Epoch,Error mean,Error std
1,0.006596,0.000982
2,0.003179,0.000614
3,0.001778,0.000569
4,0.001211,0.000577
5,0.000971,0.000584
6,0.000880,0.000565
7,0.000841,0.000536
8,0.000827,0.000508
9,0.000824,0.000485
10,0.000827,0.000468
11,0.000831,0.000457
12,0.000837,0.000449
13,0.000843,0.000443
14,0.000849,0.000440
15,0.000854,0.000438
16,0.000859,0.000436
17,0.000864,0.000435
18,0.000868,0.000434
19,0.000872,0.000434
20,0.000876,0.000434
21,0.000879,0.000434
22,0.000882,0.000434
23,0.000885,0.000435
24,0.000887,0.000435
25,0.000889,0.000436
26,0.000891,0.000436
27,0.000893,0.000436
28,0.000895,0.000437
29,0.000897,0.000437
30,0.000898,0.000438
31,0.000899,0.000438
32,0.000901,0.000439
33,0.000902,0.000439
34,0.000903,0.000440
35,0.000904,0.000440
36,0.000905,0.000440
37,0.000906,0.000441
38,0.000907,0.000441
39,0.000907,0.000441
40,0.000908,0.000442
41,0.000909,0.000442
42,0.000909,0.000442
43,0.000910,0.000443
44,0.000910,0.000443
45,0.000911,0.000443
46,0.000911,0.000444
47,0.000912,0.000444
48,0.000912,0.000444
49,0.000913,0.000445
50,0.000913,0.000445
51,0.000914,0.000445
52,0.000914,0.000445
53,0.000914,0.000446
54,0.000915,0.000446
55,0.000915,0.000446
56,0.000915,0.000446
57,0.000915,0.000446
58,0.000916,0.000447
59,0.000916,0.000447
60,0.000916,0.000447
