Epoch,Error mean,Error std
1,0.003710,0.000152
2,0.002937,0.000166
3,0.002390,0.000164
4,0.002002,0.000156
5,0.001722,0.000152
6,0.001518,0.000146
7,0.001365,0.000142
8,0.001251,0.000138
9,0.001165,0.000134
10,0.001099,0.000129
11,0.001049,0.000124
12,0.001009,0.000120
13,0.000976,0.000116
14,0.000949,0.000113
15,0.000927,0.000109
16,0.000909,0.000106
17,0.000894,0.000103
18,0.000882,0.000100
19,0.000871,0.000098
20,0.000861,0.000095
21,0.000853,0.000094
22,0.000846,0.000092
23,0.000839,0.000091
24,0.000833,0.000090
25,0.000827,0.000089
26,0.000822,0.000088
27,0.000817,0.000086
28,0.000813,0.000086
29,0.000809,0.000085
30,0.000805,0.000084
31,0.000802,0.000083
32,0.000798,0.000083
33,0.000796,0.000082
34,0.000793,0.000082
35,0.000790,0.000081
36,0.000788,0.000081
37,0.000785,0.000080
38,0.000783,0.000080
39,0.000781,0.000079
40,0.000779,0.000079
41,0.000777,0.000079
42,0.000775,0.000078
43,0.000774,0.000078
44,0.000772,0.000078
45,0.000771,0.000078
46,0.000769,0.000077
47,0.000768,0.000077
48,0.000767,0.000077
49,0.000765,0.000076
50,0.000764,0.000076
51,0.000763,0.000076
52,0.000762,0.000076
53,0.000761,0.000075
54,0.000760,0.000075
55,0.000759,0.000075
56,0.000758,0.000075
57,0.000757,0.000075
58,0.000756,0.000074
59,0.000755,0.000074
60,0.000755,0.000074
