Epoch,Error mean,Error std
1,0.003709,0.000148
2,0.002925,0.000156
3,0.002364,0.000160
4,0.001954,0.000160
5,0.001650,0.000157
6,0.001420,0.000153
7,0.001244,0.000147
8,0.001106,0.000142
9,0.000996,0.000137
10,0.000909,0.000132
11,0.000839,0.000127
12,0.000781,0.000123
13,0.000734,0.000119
14,0.000694,0.000116
15,0.000660,0.000113
16,0.000632,0.000110
17,0.000607,0.000107
18,0.000585,0.000105
19,0.000566,0.000102
20,0.000550,0.000101
21,0.000535,0.000099
22,0.000522,0.000097
23,0.000510,0.000096
24,0.000499,0.000095
25,0.000490,0.000094
26,0.000481,0.000093
27,0.000473,0.000092
28,0.000466,0.000091
29,0.000459,0.000090
30,0.000453,0.000090
31,0.000447,0.000089
32,0.000442,0.000089
33,0.000437,0.000088
34,0.000432,0.000088
35,0.000428,0.000087
36,0.000423,0.000087
37,0.000419,0.000086
38,0.000416,0.000086
39,0.000412,0.000086
40,0.000409,0.000085
41,0.000406,0.000085
42,0.000403,0.000085
43,0.000400,0.000084
44,0.000397,0.000084
45,0.000395,0.000084
46,0.000392,0.000084
47,0.000390,0.000083
48,0.000387,0.000083
49,0.000385,0.000083
50,0.000383,0.000083
51,0.000381,0.000083
52,0.000379,0.000082
53,0.000378,0.000082
54,0.000376,0.000082
55,0.000374,0.000082
56,0.000372,0.000082
57,0.000371,0.000082
58,0.000369,0.000082
59,0.000368,0.000082
60,0.000366,0.000081
