Epoch,Error mean,Error std
1,0.0000372110,-nan
2,0.0000295168,-nan
3,0.0000240827,-nan
4,0.0000201627,-nan
5,0.0000172791,-nan
6,0.0000151193,-nan
7,0.0000134798,-nan
8,0.0000122239,-nan
9,0.0000112535,-nan
10,0.0000104957,-nan
11,0.0000098958,-nan
12,0.0000094172,-nan
13,0.0000090324,-nan
14,0.0000087214,-nan
15,0.0000084677,-nan
16,0.0000082605,-nan
17,0.0000080902,-nan
18,0.0000079497,-nan
19,0.0000078321,-nan
20,0.0000077336,-nan
21,0.0000076513,-nan
22,0.0000075818,-nan
23,0.0000075234,-nan
24,0.0000074737,-nan
25,0.0000074326,-nan
26,0.0000073987,-nan
27,0.0000073712,-nan
28,0.0000073492,-nan
29,0.0000073322,-nan
30,0.0000073193,-nan
