Epoch,Error mean,Error std
1,0.0000269885,0.0000001700
2,0.0000217520,0.0000001343
3,0.0000185656,0.0000001026
4,0.0000166102,0.0000000852
5,0.0000154057,0.0000000819
6,0.0000146628,0.0000000822
7,0.0000142041,0.0000000792
8,0.0000139225,0.0000000787
9,0.0000137500,0.0000000786
10,0.0000136485,0.0000000776
11,0.0000135932,0.0000000781
12,0.0000135671,0.0000000786
13,0.0000135591,0.0000000781
14,0.0000135631,0.0000000776
15,0.0000135745,0.0000000777
16,0.0000135902,0.0000000778
17,0.0000136090,0.0000000778
18,0.0000136292,0.0000000776
19,0.0000136500,0.0000000777
20,0.0000136716,0.0000000780
21,0.0000136934,0.0000000784
22,0.0000137151,0.0000000789
23,0.0000137366,0.0000000798
24,0.0000137577,0.0000000806
25,0.0000137782,0.0000000814
26,0.0000137985,0.0000000824
27,0.0000138184,0.0000000835
28,0.0000138379,0.0000000847
29,0.0000138570,0.0000000861
30,0.0000138756,0.0000000875
