Epoch,Error mean,Error std
1,0.0000372825,-nan
2,0.0000295516,-nan
3,0.0000240874,-nan
4,0.0000201313,-nan
5,0.0000172174,-nan
6,0.0000150445,-nan
7,0.0000134044,-nan
8,0.0000121418,-nan
9,0.0000111626,-nan
10,0.0000104033,-nan
11,0.0000098081,-nan
12,0.0000093361,-nan
13,0.0000089571,-nan
14,0.0000086501,-nan
15,0.0000084017,-nan
16,0.0000081982,-nan
17,0.0000080310,-nan
18,0.0000078912,-nan
19,0.0000077744,-nan
20,0.0000076778,-nan
21,0.0000075979,-nan
22,0.0000075314,-nan
23,0.0000074759,-nan
24,0.0000074297,-nan
25,0.0000073910,-nan
26,0.0000073595,-nan
27,0.0000073342,-nan
28,0.0000073141,-nan
29,0.0000072982,-nan
30,0.0000072869,-nan
