Epoch,Error mean,Error std
1,0.003748,0.000153
2,0.002975,0.000163
3,0.002411,0.000169
4,0.001994,0.000166
5,0.001684,0.000160
6,0.001448,0.000154
7,0.001269,0.000150
8,0.001131,0.000146
9,0.001023,0.000141
10,0.000941,0.000137
11,0.000878,0.000131
12,0.000829,0.000125
13,0.000789,0.000119
14,0.000757,0.000114
15,0.000731,0.000109
16,0.000710,0.000105
17,0.000692,0.000102
18,0.000677,0.000099
19,0.000664,0.000096
20,0.000652,0.000095
21,0.000642,0.000093
22,0.000634,0.000091
23,0.000627,0.000090
24,0.000620,0.000089
25,0.000615,0.000088
26,0.000609,0.000087
27,0.000605,0.000086
28,0.000600,0.000085
29,0.000596,0.000085
30,0.000592,0.000084
31,0.000589,0.000084
32,0.000586,0.000083
33,0.000583,0.000083
34,0.000580,0.000082
35,0.000577,0.000082
36,0.000574,0.000082
37,0.000572,0.000081
38,0.000569,0.000081
39,0.000567,0.000081
40,0.000565,0.000080
41,0.000563,0.000080
42,0.000561,0.000080
43,0.000559,0.000079
44,0.000558,0.000079
45,0.000556,0.000079
46,0.000555,0.000079
47,0.000553,0.000078
48,0.000552,0.000078
49,0.000550,0.000078
50,0.000549,0.000078
51,0.000548,0.000077
52,0.000547,0.000077
53,0.000545,0.000076
54,0.000544,0.000076
55,0.000543,0.000076
56,0.000542,0.000075
57,0.000541,0.000075
58,0.000540,0.000075
59,0.000539,0.000074
60,0.000538,0.000074
