Epoch,Error mean,Error std
1,0.130028,0.046166
2,0.119953,0.039379
3,0.110469,0.034229
4,0.102234,0.030861
5,0.095659,0.029007
6,0.090123,0.028183
7,0.085206,0.028094
8,0.080843,0.028471
9,0.076965,0.029125
10,0.073524,0.029938
11,0.070738,0.030912
12,0.068411,0.031898
13,0.066927,0.032407
14,0.065756,0.032893
15,0.064868,0.033204
16,0.064188,0.033403
17,0.063558,0.033689
18,0.063379,0.033610
19,0.063392,0.033383
20,0.063401,0.033203
21,0.063410,0.033066
22,0.063421,0.032964
23,0.063494,0.032842
24,0.063686,0.032629
25,0.063947,0.032351
26,0.064197,0.032118
27,0.064439,0.031924
28,0.064672,0.031767
29,0.064898,0.031643
30,0.065117,0.031550
31,0.065386,0.031407
32,0.065747,0.031286
33,0.066156,0.031299
34,0.066547,0.031338
35,0.066922,0.031401
36,0.067282,0.031484
37,0.067691,0.031627
38,0.068141,0.031824
39,0.068583,0.032026
40,0.069008,0.032236
41,0.069418,0.032453
42,0.069811,0.032677
43,0.070192,0.032904
44,0.070610,0.033132
45,0.071012,0.033365
46,0.071399,0.033600
47,0.071772,0.033837
48,0.072131,0.034076
49,0.072487,0.034318
50,0.072834,0.034561
51,0.073169,0.034801
52,0.073492,0.035039
53,0.073803,0.035273
54,0.074105,0.035503
55,0.074395,0.035730
56,0.074676,0.035952
57,0.074948,0.036170
58,0.075210,0.036383
59,0.075464,0.036591
60,0.075709,0.036794
