Epoch,Error mean,Error std
1,0.0000309264,0.0000001845
2,0.0000269462,0.0000001704
3,0.0000237277,0.0000001492
4,0.0000212059,0.0000001248
5,0.0000192864,0.0000001052
6,0.0000178691,0.0000000954
7,0.0000168833,0.0000000937
8,0.0000162718,0.0000000904
9,0.0000159927,0.0000000892
10,0.0000159810,0.0000000865
11,0.0000161717,0.0000000842
12,0.0000165029,0.0000000820
13,0.0000169263,0.0000000799
14,0.0000174029,0.0000000778
15,0.0000179081,0.0000000779
16,0.0000184262,0.0000000784
17,0.0000189486,0.0000000789
18,0.0000194701,0.0000000814
19,0.0000199888,0.0000000852
20,0.0000205039,0.0000000893
21,0.0000210161,0.0000000933
22,0.0000215250,0.0000000979
23,0.0000220312,0.0000001029
24,0.0000225358,0.0000001086
25,0.0000230393,0.0000001150
26,0.0000235427,0.0000001222
27,0.0000240469,0.0000001297
28,0.0000245524,0.0000001378
29,0.0000250597,0.0000001464
30,0.0000255698,0.0000001554
