Epoch,Error mean,Error std
1,0.004445,0.000166
2,0.004133,0.000163
3,0.003870,0.000163
4,0.003659,0.000158
5,0.003484,0.000160
6,0.003342,0.000166
7,0.003230,0.000176
8,0.003139,0.000183
9,0.003076,0.000176
10,0.003046,0.000164
11,0.003042,0.000154
12,0.003061,0.000150
13,0.003094,0.000153
14,0.003137,0.000158
15,0.003187,0.000161
16,0.003240,0.000164
17,0.003294,0.000168
18,0.003351,0.000171
19,0.003408,0.000173
20,0.003467,0.000177
21,0.003525,0.000181
22,0.003580,0.000187
23,0.003633,0.000192
24,0.003683,0.000197
25,0.003732,0.000202
26,0.003778,0.000207
27,0.003823,0.000212
28,0.003865,0.000217
29,0.003906,0.000221
30,0.003945,0.000225
31,0.003982,0.000229
32,0.004017,0.000233
33,0.004050,0.000236
34,0.004082,0.000239
35,0.004112,0.000243
36,0.004141,0.000246
37,0.004169,0.000249
38,0.004196,0.000252
39,0.004221,0.000255
40,0.004245,0.000258
41,0.004268,0.000261
42,0.004290,0.000263
43,0.004310,0.000266
44,0.004330,0.000268
45,0.004350,0.000271
46,0.004368,0.000274
47,0.004386,0.000276
48,0.004402,0.000278
49,0.004419,0.000280
50,0.004434,0.000282
51,0.004449,0.000284
52,0.004463,0.000286
53,0.004477,0.000287
54,0.004490,0.000289
55,0.004503,0.000290
56,0.004516,0.000291
57,0.004528,0.000293
58,0.004539,0.000294
59,0.004551,0.000295
60,0.004561,0.000296
