Epoch,Error mean,Error std
1,0.0000277896,0.0000002158
2,0.0000223908,0.0000001491
3,0.0000185566,0.0000001128
4,0.0000157823,0.0000000888
5,0.0000137473,0.0000000678
6,0.0000122423,0.0000000514
7,0.0000111186,0.0000000337
8,0.0000102693,0.0000000191
9,0.0000096198,0.0000000083
10,0.0000091227,0.0000000017
11,0.0000087373,0.0000000124
12,0.0000084354,0.0000000198
13,0.0000081972,0.0000000256
14,0.0000080097,0.0000000313
15,0.0000078608,0.0000000367
16,0.0000077412,0.0000000404
17,0.0000076448,0.0000000443
18,0.0000075665,0.0000000484
19,0.0000075026,0.0000000519
20,0.0000074498,0.0000000552
21,0.0000074055,0.0000000576
22,0.0000073690,0.0000000597
23,0.0000073384,0.0000000609
24,0.0000073129,0.0000000618
25,0.0000072920,0.0000000627
26,0.0000072747,0.0000000637
27,0.0000072605,0.0000000649
28,0.0000072491,0.0000000665
29,0.0000072401,0.0000000681
30,0.0000072327,0.0000000694
