Epoch,Error mean,Error std
1,0.0000375669,-nan
2,0.0000297968,-nan
3,0.0000242917,-nan
4,0.0000203027,-nan
5,0.0000173606,-nan
6,0.0000151593,-nan
7,0.0000134978,-nan
8,0.0000122230,-nan
9,0.0000112409,-nan
10,0.0000104770,-nan
11,0.0000098763,-nan
12,0.0000093996,-nan
13,0.0000090200,-nan
14,0.0000087130,-nan
15,0.0000084638,-nan
16,0.0000082599,-nan
17,0.0000080920,-nan
18,0.0000079525,-nan
19,0.0000078362,-nan
20,0.0000077391,-nan
21,0.0000076575,-nan
22,0.0000075895,-nan
23,0.0000075325,-nan
24,0.0000074847,-nan
25,0.0000074455,-nan
26,0.0000074130,-nan
27,0.0000073862,-nan
28,0.0000073647,-nan
29,0.0000073479,-nan
30,0.0000073349,-nan
