Epoch,Error mean,Error std
1,0.0000266387,0.0000001709
2,0.0000206972,0.0000001423
3,0.0000166426,0.0000001159
4,0.0000138154,0.0000000965
5,0.0000118084,0.0000000829
6,0.0000103632,0.0000000760
7,0.0000093090,0.0000000700
8,0.0000085296,0.0000000666
9,0.0000079455,0.0000000633
10,0.0000075024,0.0000000599
11,0.0000071604,0.0000000582
12,0.0000068921,0.0000000574
13,0.0000066791,0.0000000564
14,0.0000065080,0.0000000560
15,0.0000063695,0.0000000562
16,0.0000062556,0.0000000565
17,0.0000061610,0.0000000565
18,0.0000060819,0.0000000567
19,0.0000060151,0.0000000568
20,0.0000059580,0.0000000571
21,0.0000059088,0.0000000573
22,0.0000058662,0.0000000574
23,0.0000058291,0.0000000575
24,0.0000057967,0.0000000576
25,0.0000057680,0.0000000578
26,0.0000057425,0.0000000580
27,0.0000057196,0.0000000581
28,0.0000056990,0.0000000581
29,0.0000056804,0.0000000579
30,0.0000056636,0.0000000577
