Epoch,Error mean,Error std
1,0.0000268952,0.0000001655
2,0.0000216628,0.0000001420
3,0.0000184797,0.0000001368
4,0.0000165354,0.0000001470
5,0.0000153441,0.0000001540
6,0.0000146067,0.0000001527
7,0.0000141606,0.0000001504
8,0.0000138937,0.0000001536
9,0.0000137361,0.0000001572
10,0.0000136440,0.0000001605
11,0.0000135957,0.0000001659
12,0.0000135744,0.0000001698
13,0.0000135703,0.0000001728
14,0.0000135781,0.0000001755
15,0.0000135941,0.0000001784
16,0.0000136140,0.0000001804
17,0.0000136363,0.0000001812
18,0.0000136596,0.0000001819
19,0.0000136834,0.0000001830
20,0.0000137071,0.0000001839
21,0.0000137314,0.0000001846
22,0.0000137555,0.0000001851
23,0.0000137792,0.0000001859
24,0.0000138025,0.0000001869
25,0.0000138253,0.0000001876
26,0.0000138474,0.0000001883
27,0.0000138690,0.0000001891
28,0.0000138901,0.0000001901
29,0.0000139105,0.0000001913
30,0.0000139302,0.0000001926
