Epoch,Error mean,Error std
1,0.0000277737,0.0000002151
2,0.0000223680,0.0000001478
3,0.0000185334,0.0000001082
4,0.0000157608,0.0000000827
5,0.0000137252,0.0000000609
6,0.0000122192,0.0000000456
7,0.0000110960,0.0000000286
8,0.0000102471,0.0000000141
9,0.0000095983,0.0000000003
10,0.0000091017,0.0000000111
11,0.0000087151,0.0000000217
12,0.0000084132,0.0000000307
13,0.0000081741,0.0000000386
14,0.0000079835,0.0000000453
15,0.0000078313,0.0000000510
16,0.0000077085,0.0000000541
17,0.0000076087,0.0000000570
18,0.0000075277,0.0000000597
19,0.0000074609,0.0000000626
20,0.0000074059,0.0000000653
21,0.0000073602,0.0000000677
22,0.0000073221,0.0000000695
23,0.0000072901,0.0000000701
24,0.0000072633,0.0000000708
25,0.0000072407,0.0000000719
26,0.0000072218,0.0000000733
27,0.0000072063,0.0000000744
28,0.0000071938,0.0000000752
29,0.0000071833,0.0000000759
30,0.0000071750,0.0000000771
