Epoch,Error mean,Error std
1,0.007226,0.001020
2,0.003514,0.000628
3,0.001809,0.000552
4,0.001234,0.000581
5,0.001199,0.000565
6,0.001282,0.000514
7,0.001380,0.000450
8,0.001458,0.000400
9,0.001513,0.000367
10,0.001552,0.000346
11,0.001580,0.000332
12,0.001602,0.000322
13,0.001618,0.000316
14,0.001631,0.000312
15,0.001642,0.000307
16,0.001653,0.000303
17,0.001661,0.000300
18,0.001669,0.000298
19,0.001675,0.000296
20,0.001680,0.000294
21,0.001686,0.000292
22,0.001691,0.000291
23,0.001696,0.000290
24,0.001700,0.000289
25,0.001704,0.000288
26,0.001708,0.000288
27,0.001711,0.000287
28,0.001714,0.000287
29,0.001716,0.000287
30,0.001719,0.000286
31,0.001721,0.000286
32,0.001723,0.000286
33,0.001725,0.000286
34,0.001726,0.000286
35,0.001728,0.000286
36,0.001730,0.000286
37,0.001731,0.000286
38,0.001732,0.000286
39,0.001733,0.000286
40,0.001735,0.000286
41,0.001736,0.000286
42,0.001737,0.000286
43,0.001737,0.000286
44,0.001738,0.000286
45,0.001739,0.000286
46,0.001740,0.000286
47,0.001741,0.000286
48,0.001741,0.000287
49,0.001742,0.000287
50,0.001742,0.000287
51,0.001743,0.000287
52,0.001744,0.000287
53,0.001744,0.000287
54,0.001744,0.000287
55,0.001745,0.000287
56,0.001745,0.000287
57,0.001746,0.000287
58,0.001746,0.000287
59,0.001747,0.000287
60,0.001747,0.000287
