Epoch,Error mean,Error std
1,0.003714,0.000156
2,0.002946,0.000174
3,0.002411,0.000173
4,0.002036,0.000161
5,0.001766,0.000151
6,0.001570,0.000143
7,0.001430,0.000137
8,0.001329,0.000132
9,0.001256,0.000125
10,0.001201,0.000119
11,0.001158,0.000115
12,0.001126,0.000113
13,0.001100,0.000110
14,0.001080,0.000108
15,0.001062,0.000108
16,0.001048,0.000108
17,0.001035,0.000108
18,0.001025,0.000108
19,0.001016,0.000109
20,0.001009,0.000109
21,0.001002,0.000109
22,0.000996,0.000109
23,0.000991,0.000110
24,0.000987,0.000110
25,0.000982,0.000110
26,0.000979,0.000110
27,0.000975,0.000110
28,0.000973,0.000110
29,0.000970,0.000110
30,0.000968,0.000110
31,0.000966,0.000110
32,0.000964,0.000110
33,0.000963,0.000110
34,0.000961,0.000110
35,0.000960,0.000110
36,0.000959,0.000109
37,0.000957,0.000109
38,0.000956,0.000109
39,0.000955,0.000109
40,0.000954,0.000109
41,0.000953,0.000108
42,0.000953,0.000108
43,0.000952,0.000108
44,0.000951,0.000108
45,0.000950,0.000108
46,0.000950,0.000108
47,0.000949,0.000108
48,0.000949,0.000108
49,0.000948,0.000107
50,0.000948,0.000107
51,0.000947,0.000107
52,0.000947,0.000107
53,0.000947,0.000106
54,0.000946,0.000106
55,0.000946,0.000106
56,0.000946,0.000106
57,0.000946,0.000106
58,0.000945,0.000105
59,0.000945,0.000105
60,0.000945,0.000105
