Epoch,Error mean,Error std
1,0.0000266730,0.0000001785
2,0.0000208222,0.0000001623
3,0.0000168859,0.0000001487
4,0.0000141901,0.0000001342
5,0.0000123186,0.0000001195
6,0.0000110037,0.0000001059
7,0.0000100684,0.0000000983
8,0.0000093947,0.0000000911
9,0.0000089028,0.0000000834
10,0.0000085373,0.0000000753
11,0.0000082625,0.0000000684
12,0.0000080532,0.0000000639
13,0.0000078911,0.0000000609
14,0.0000077642,0.0000000591
15,0.0000076630,0.0000000582
16,0.0000075814,0.0000000580
17,0.0000075151,0.0000000579
18,0.0000074605,0.0000000576
19,0.0000074150,0.0000000570
20,0.0000073769,0.0000000563
21,0.0000073448,0.0000000558
22,0.0000073177,0.0000000551
23,0.0000072947,0.0000000543
24,0.0000072749,0.0000000536
25,0.0000072578,0.0000000530
26,0.0000072431,0.0000000524
27,0.0000072304,0.0000000518
28,0.0000072192,0.0000000514
29,0.0000072094,0.0000000510
30,0.0000072011,0.0000000506
