Epoch,Error mean,Error std
1,0.0000292298,0.0000001765
2,0.0000240948,0.0000001575
3,0.0000201658,0.0000001370
4,0.0000172169,0.0000001193
5,0.0000150349,0.0000001068
6,0.0000134548,0.0000000968
7,0.0000123457,0.0000000917
8,0.0000116179,0.0000000899
9,0.0000111845,0.0000000853
10,0.0000109681,0.0000000795
11,0.0000109061,0.0000000727
12,0.0000109496,0.0000000683
13,0.0000110633,0.0000000663
14,0.0000112218,0.0000000637
15,0.0000114066,0.0000000625
16,0.0000116073,0.0000000619
17,0.0000118173,0.0000000634
18,0.0000120305,0.0000000654
19,0.0000122443,0.0000000668
20,0.0000124566,0.0000000679
21,0.0000126660,0.0000000691
22,0.0000128721,0.0000000706
23,0.0000130754,0.0000000723
24,0.0000132760,0.0000000743
25,0.0000134741,0.0000000764
26,0.0000136698,0.0000000786
27,0.0000138637,0.0000000811
28,0.0000140567,0.0000000836
29,0.0000142486,0.0000000859
30,0.0000144394,0.0000000884
