Epoch,Error mean,Error std
1,0.0000265769,0.0000001490
2,0.0000206558,0.0000001086
3,0.0000166059,0.0000001057
4,0.0000137773,0.0000001098
5,0.0000117681,0.0000001067
6,0.0000103234,0.0000001096
7,0.0000092707,0.0000001099
8,0.0000084939,0.0000001075
9,0.0000079135,0.0000001033
10,0.0000074727,0.0000000992
11,0.0000071333,0.0000000951
12,0.0000068692,0.0000000920
13,0.0000066606,0.0000000898
14,0.0000064946,0.0000000882
15,0.0000063602,0.0000000867
16,0.0000062494,0.0000000865
17,0.0000061576,0.0000000866
18,0.0000060804,0.0000000866
19,0.0000060152,0.0000000865
20,0.0000059596,0.0000000863
21,0.0000059121,0.0000000860
22,0.0000058706,0.0000000854
23,0.0000058345,0.0000000849
24,0.0000058028,0.0000000847
25,0.0000057748,0.0000000843
26,0.0000057499,0.0000000838
27,0.0000057276,0.0000000836
28,0.0000057078,0.0000000836
29,0.0000056901,0.0000000836
30,0.0000056740,0.0000000836
