Epoch,Error mean,Error std
1,0.003709,0.000147
2,0.002933,0.000154
3,0.002381,0.000157
4,0.001980,0.000154
5,0.001687,0.000152
6,0.001466,0.000150
7,0.001300,0.000146
8,0.001173,0.000143
9,0.001075,0.000141
10,0.000998,0.000138
11,0.000937,0.000134
12,0.000887,0.000130
13,0.000847,0.000128
14,0.000813,0.000126
15,0.000785,0.000124
16,0.000761,0.000122
17,0.000740,0.000121
18,0.000723,0.000120
19,0.000708,0.000119
20,0.000694,0.000118
21,0.000683,0.000117
22,0.000672,0.000116
23,0.000663,0.000115
24,0.000654,0.000115
25,0.000646,0.000114
26,0.000639,0.000113
27,0.000633,0.000112
28,0.000627,0.000111
29,0.000621,0.000111
30,0.000616,0.000110
31,0.000612,0.000109
32,0.000607,0.000109
33,0.000603,0.000108
34,0.000599,0.000108
35,0.000596,0.000107
36,0.000592,0.000107
37,0.000589,0.000106
38,0.000586,0.000106
39,0.000584,0.000106
40,0.000581,0.000106
41,0.000579,0.000105
42,0.000577,0.000105
43,0.000575,0.000105
44,0.000573,0.000104
45,0.000571,0.000104
46,0.000569,0.000104
47,0.000568,0.000104
48,0.000566,0.000103
49,0.000564,0.000103
50,0.000563,0.000103
51,0.000562,0.000103
52,0.000560,0.000102
53,0.000559,0.000102
54,0.000558,0.000102
55,0.000556,0.000102
56,0.000555,0.000102
57,0.000554,0.000102
58,0.000553,0.000102
59,0.000552,0.000102
60,0.000551,0.000101
