Epoch,Error mean,Error std
1,0.0000267771,0.0000001825
2,0.0000211756,0.0000001849
3,0.0000175583,0.0000001744
4,0.0000151931,0.0000001516
5,0.0000136364,0.0000001312
6,0.0000125975,0.0000001179
7,0.0000118966,0.0000001064
8,0.0000114183,0.0000000975
9,0.0000110887,0.0000000892
10,0.0000108589,0.0000000829
11,0.0000106965,0.0000000775
12,0.0000105800,0.0000000740
13,0.0000104956,0.0000000710
14,0.0000104344,0.0000000690
15,0.0000103896,0.0000000676
16,0.0000103571,0.0000000664
17,0.0000103335,0.0000000650
18,0.0000103163,0.0000000639
19,0.0000103043,0.0000000629
20,0.0000102961,0.0000000624
21,0.0000102907,0.0000000623
22,0.0000102878,0.0000000623
23,0.0000102868,0.0000000625
24,0.0000102873,0.0000000627
25,0.0000102889,0.0000000632
26,0.0000102915,0.0000000639
27,0.0000102948,0.0000000645
28,0.0000102986,0.0000000652
29,0.0000103028,0.0000000660
30,0.0000103074,0.0000000666
