Epoch,Error mean,Error std
1,0.0000269557,0.0000001701
2,0.0000210453,0.0000001423
3,0.0000169450,0.0000001179
4,0.0000140528,0.0000000987
5,0.0000119874,0.0000000848
6,0.0000104956,0.0000000763
7,0.0000094105,0.0000000721
8,0.0000086146,0.0000000696
9,0.0000080241,0.0000000687
10,0.0000075831,0.0000000675
11,0.0000072507,0.0000000658
12,0.0000069974,0.0000000646
13,0.0000068021,0.0000000628
14,0.0000066499,0.0000000615
15,0.0000065298,0.0000000607
16,0.0000064341,0.0000000606
17,0.0000063571,0.0000000612
18,0.0000062949,0.0000000614
19,0.0000062440,0.0000000615
20,0.0000062020,0.0000000614
21,0.0000061671,0.0000000611
22,0.0000061380,0.0000000608
23,0.0000061134,0.0000000604
24,0.0000060926,0.0000000598
25,0.0000060748,0.0000000592
26,0.0000060594,0.0000000586
27,0.0000060462,0.0000000581
28,0.0000060347,0.0000000576
29,0.0000060248,0.0000000571
30,0.0000060162,0.0000000565
