Epoch,Error mean,Error std
1,0.003707,0.000149
2,0.002924,0.000154
3,0.002367,0.000156
4,0.001963,0.000154
5,0.001665,0.000149
6,0.001439,0.000142
7,0.001266,0.000137
8,0.001133,0.000133
9,0.001029,0.000128
10,0.000947,0.000124
11,0.000881,0.000121
12,0.000829,0.000117
13,0.000787,0.000113
14,0.000752,0.000110
15,0.000723,0.000107
16,0.000698,0.000104
17,0.000677,0.000102
18,0.000659,0.000101
19,0.000643,0.000099
20,0.000629,0.000098
21,0.000617,0.000097
22,0.000606,0.000097
23,0.000595,0.000096
24,0.000586,0.000095
25,0.000578,0.000095
26,0.000570,0.000095
27,0.000563,0.000094
28,0.000556,0.000094
29,0.000550,0.000093
30,0.000544,0.000093
31,0.000539,0.000092
32,0.000534,0.000092
33,0.000530,0.000091
34,0.000526,0.000091
35,0.000522,0.000091
36,0.000518,0.000090
37,0.000514,0.000090
38,0.000511,0.000089
39,0.000508,0.000089
40,0.000505,0.000089
41,0.000503,0.000088
42,0.000500,0.000088
43,0.000498,0.000088
44,0.000496,0.000087
45,0.000494,0.000087
46,0.000492,0.000087
47,0.000490,0.000086
48,0.000488,0.000086
49,0.000486,0.000086
50,0.000484,0.000085
51,0.000482,0.000085
52,0.000481,0.000085
53,0.000479,0.000084
54,0.000478,0.000084
55,0.000476,0.000084
56,0.000475,0.000084
57,0.000473,0.000083
58,0.000472,0.000083
59,0.000471,0.000083
60,0.000470,0.000083
