Epoch,Error mean,Error std
1,0.006733,0.000996
2,0.003246,0.000625
3,0.001754,0.000562
4,0.001126,0.000584
5,0.000898,0.000580
6,0.000834,0.000556
7,0.000821,0.000524
8,0.000819,0.000496
9,0.000819,0.000475
10,0.000824,0.000459
11,0.000832,0.000448
12,0.000840,0.000440
13,0.000847,0.000435
14,0.000855,0.000431
15,0.000862,0.000428
16,0.000868,0.000426
17,0.000873,0.000424
18,0.000879,0.000424
19,0.000884,0.000424
20,0.000888,0.000424
21,0.000892,0.000424
22,0.000896,0.000424
23,0.000899,0.000424
24,0.000903,0.000424
25,0.000905,0.000425
26,0.000908,0.000425
27,0.000910,0.000425
28,0.000912,0.000426
29,0.000914,0.000426
30,0.000916,0.000426
31,0.000918,0.000427
32,0.000919,0.000427
33,0.000921,0.000427
34,0.000922,0.000428
35,0.000923,0.000428
36,0.000924,0.000428
37,0.000925,0.000429
38,0.000926,0.000429
39,0.000927,0.000429
40,0.000928,0.000430
41,0.000929,0.000430
42,0.000929,0.000430
43,0.000930,0.000431
44,0.000931,0.000431
45,0.000931,0.000431
46,0.000932,0.000431
47,0.000932,0.000432
48,0.000933,0.000432
49,0.000933,0.000432
50,0.000934,0.000432
51,0.000934,0.000432
52,0.000935,0.000433
53,0.000935,0.000433
54,0.000935,0.000433
55,0.000936,0.000433
56,0.000936,0.000434
57,0.000936,0.000434
58,0.000937,0.000434
59,0.000937,0.000434
60,0.000937,0.000434
