Epoch,Error mean,Error std
1,0.0000277778,0.0000002162
2,0.0000223757,0.0000001507
3,0.0000185445,0.0000001111
4,0.0000157733,0.0000000861
5,0.0000137403,0.0000000650
6,0.0000122365,0.0000000488
7,0.0000111142,0.0000000317
8,0.0000102653,0.0000000167
9,0.0000096163,0.0000000057
10,0.0000091187,0.0000000048
11,0.0000087317,0.0000000147
12,0.0000084290,0.0000000233
13,0.0000081890,0.0000000299
14,0.0000079987,0.0000000365
15,0.0000078474,0.0000000414
16,0.0000077253,0.0000000445
17,0.0000076266,0.0000000477
18,0.0000075465,0.0000000512
19,0.0000074812,0.0000000547
20,0.0000074272,0.0000000577
21,0.0000073819,0.0000000603
22,0.0000073441,0.0000000625
23,0.0000073124,0.0000000642
24,0.0000072858,0.0000000653
25,0.0000072636,0.0000000664
26,0.0000072452,0.0000000676
27,0.0000072300,0.0000000693
28,0.0000072175,0.0000000708
29,0.0000072073,0.0000000721
30,0.0000071992,0.0000000736
