Epoch,Error mean,Error std
1,0.006607,0.000984
2,0.003236,0.000654
3,0.001942,0.000617
4,0.001482,0.000625
5,0.001315,0.000606
6,0.001255,0.000573
7,0.001234,0.000539
8,0.001231,0.000511
9,0.001230,0.000492
10,0.001230,0.000480
11,0.001231,0.000472
12,0.001233,0.000467
13,0.001237,0.000463
14,0.001240,0.000459
15,0.001245,0.000457
16,0.001248,0.000455
17,0.001252,0.000454
18,0.001255,0.000454
19,0.001259,0.000453
20,0.001261,0.000453
21,0.001264,0.000453
22,0.001266,0.000453
23,0.001269,0.000454
24,0.001271,0.000454
25,0.001273,0.000455
26,0.001275,0.000455
27,0.001276,0.000455
28,0.001278,0.000456
29,0.001279,0.000456
30,0.001281,0.000457
31,0.001282,0.000457
32,0.001283,0.000457
33,0.001284,0.000458
34,0.001285,0.000458
35,0.001286,0.000459
36,0.001287,0.000459
37,0.001287,0.000459
38,0.001288,0.000460
39,0.001289,0.000460
40,0.001289,0.000460
41,0.001290,0.000461
42,0.001291,0.000461
43,0.001291,0.000461
44,0.001292,0.000462
45,0.001292,0.000462
46,0.001292,0.000462
47,0.001293,0.000462
48,0.001293,0.000463
49,0.001294,0.000463
50,0.001294,0.000463
51,0.001294,0.000463
52,0.001295,0.000463
53,0.001295,0.000464
54,0.001295,0.000464
55,0.001296,0.000464
56,0.001296,0.000464
57,0.001296,0.000465
58,0.001296,0.000465
59,0.001297,0.000465
60,0.001297,0.000465
